"Monthly commercial disappearance of dry skim milk products, 1995–current (millions of pounds)",,,,,,,,,,,,,,Back to content page,,,
,,Supply,,,,,,,,,"USDA net removals, barters, and CCC donations 2",Commercial use,,,Ending manufacturers' stocks,,
,,Beginning manufacturers' stocks,,,Production,,,,Imports,Total supply,,,,,,,
,,"Nonfat dry milk 
(NDM)",Dry skim milk for animal use,Total,NDM,"Skim milk powder 
(SMP) 1",Dry skim milk for animal use,Total,,,,Domestic commercial disappearance,Commercial exports 3,Total commercial disappearance,NDM,Dry skim milk for animal use,Total 4
2003,Jan,98.9,2.0,100.9,141.3,,0.5,141.8,1.1,243.8,86.0,53.3,0.3,53.7,102.4,1.8,104.2
,Feb,102.4,1.8,104.2,137.2,,0.4,137.7,0.0,241.9,85.1,39.5,0.2,39.7,114.4,2.7,117.1
,Mar,114.4,2.7,117.1,155.4,,0.4,155.8,0.6,273.6,70.9,77.0,0.2,77.2,123.4,2.1,125.5
,Apr,123.4,2.1,125.5,160.0,,0.5,160.5,0.1,286.1,101.1,53.4,0.3,53.7,129.6,1.7,131.2
,May,129.6,1.7,131.2,163.9,,0.5,164.4,0.0,295.6,77.6,87.9,0.2,88.1,127.9,1.9,129.9
,Jun,127.9,1.9,129.9,140.0,,0.5,140.5,0.1,270.4,63.2,84.7,0.6,85.3,120.2,1.7,121.9
,Jul,120.2,1.7,121.9,127.9,,0.8,128.8,0.0,250.7,55.8,106.2,0.6,106.8,86.1,2.0,88.1
,Aug,86.1,2.0,88.1,107.1,,0.5,107.5,0.1,195.7,33.0,87.8,0.6,88.4,72.3,2.0,74.3
,Sep,72.3,2.0,74.3,96.8,,0.5,97.2,0.0,171.5,31.0,75.9,0.5,76.4,62.3,1.9,64.1
,Oct,62.3,1.9,64.1,106.9,,0.5,107.4,0.0,171.5,11.3,88.0,0.4,88.4,70.1,1.8,71.9
,Nov,70.1,1.8,71.9,110.9,,0.3,111.2,0.1,183.2,7.5,86.5,0.6,87.0,87.1,1.5,88.7
,Dec,87.1,1.5,88.7,141.7,,0.4,142.1,0.1,230.9,41.7,76.6,0.5,77.0,110.8,1.3,112.1
2004,Jan,110.8,1.3,112.1,129.3,,0.5,129.8,0.1,241.9,74.2,62.3,0.0,62.3,104.2,1.2,105.4
,Feb,104.2,1.2,105.4,115.8,,0.3,116.1,0.0,221.5,34.6,89.6,0.0,89.6,96.0,1.3,97.3
,Mar,96.0,1.3,97.3,118.0,,0.3,118.3,0.0,215.7,-45.8,177.7,2.3,180.0,80.3,1.1,81.5
,Apr,80.3,1.1,81.5,134.0,,0.4,134.4,0.1,216.0,-7.8,105.6,13.0,118.5,104.2,1.0,105.3
,May,104.2,1.0,105.3,151.3,,0.5,151.8,0.0,257.1,3.5,115.4,9.5,124.9,127.3,1.5,128.8
,Jun,127.3,1.5,128.8,144.1,,0.5,144.6,0.1,273.4,17.8,94.4,13.3,107.6,146.6,1.4,148.0
,Jul,146.6,1.4,148.0,134.6,,0.6,135.1,0.1,283.2,7.2,94.8,17.6,112.4,161.8,1.8,163.6
,Aug,161.8,1.8,163.6,113.6,,0.5,114.1,0.2,277.9,25.4,68.1,32.1,100.1,150.7,1.7,152.4
,Sep,150.7,1.7,152.4,93.9,,0.3,94.3,0.1,246.8,-2.0,77.8,41.8,119.6,127.6,1.7,129.3
,Oct,127.6,1.7,129.3,94.8,,0.4,95.2,0.1,224.5,10.7,60.8,35.7,96.5,115.8,1.4,117.3
,Nov,115.8,1.4,117.3,83.8,,0.6,84.4,0.0,201.7,3.4,63.3,39.0,102.3,94.8,1.2,96.0
